BOX, DISTRICT, LAT, LONG
182,7,-71.03944858156011,42.31401966517465
1851,7,-71.04964458448727,42.31255366451045
1852,7,-71.04727258447416,42.31103766474586
1857,7,-71.04719958459482,42.30918666478129
1856,7,-71.05037658573438,42.309413663755144
186,7,-71.0525425858207,42.3108326639237
1818,7,-71.05056658566046,42.319849666354905
1824,7,-71.05453358792245,42.321505666323645
1825,7,-71.05324558737246,42.31903766642842
1823,7,-71.05674458765905,42.31859366514649
1831,7,-71.05962858839986,42.31883166547945
1833,7,-71.06164858890965,42.3183776649072
1877,7,-71.06271658876624,42.31600666451318
1837,7,-71.05939358888843,42.31673166532452
1842,7,-71.05672958691927,42.316926665285784
1841,7,-71.05671458705014,42.31540066521325
1843,7,-71.05261658662651,42.316893665846784
1847,7,-71.05345058618386,42.31383066487425
1848,7,-71.05283558660605,42.31363566523991
1861,7,-71.05504658696812,42.31232566507845
1862,7,-71.05724158802713,42.31294266437183
1871,7,-71.06005258831883,42.31438266449775
1872,7,-71.06025758837325,42.3125096639213
1875,7,-71.06303859002588,42.31362466440052
1873,7,-71.06217558969719,42.31262866381905
1876,7,-71.0633755889663,42.314512665199764
188,7,-71.06589359023815,42.31486966447694
1881,7,-71.06482459039516,42.31283466469317
1885,7,-71.06782559019935,42.310312663907716
1884,7,-71.06639159099691,42.309154663122285
189,7,-71.06216058893988,42.310702663964676
1864,7,-71.05943758788877,42.31087566436214
1865,7,-71.05792958813025,42.30998766373756
1896,7,-71.05844258722902,42.30757366361568
1899,7,-71.0616245887389,42.30788966376484
1895,7,-71.06265858915344,42.307584663780496
1892,7,-71.0650735897853,42.30802866378694
2112,5,-71.07578959434207,42.334419667883104
2113,5,-71.07697559479273,42.33361866784854
211,5,-71.0788485960764,42.335090667753256
212,5,-71.07994659558646,42.33423566811918
2122,5,-71.0810595965496,42.332979667394376
2121,5,-71.07933259605565,42.33203866753783
2123,5,-71.08089859647802,42.33106366732865
2124,5,-71.08313859676143,42.330663666906865
2127,5,-71.08343059646094,42.328660666634114
213,5,-71.08246459682545,42.32856366623798
2132,5,-71.08085459548504,42.328455666657604
2133,5,-71.07754659451486,42.327697666579596
2136,5,-71.08029859545229,42.32600866603968
2135,5,-71.07820459536144,42.325921666199264
2143,5,-71.08312359674579,42.32748066630533
2142,5,-71.08338759695368,42.325986665305365
2149,5,-71.08609559787193,42.32684266676064
2147,5,-71.08483659708058,42.32514266605546
2148,5,-71.0868125977532,42.3238326656955
2145,5,-71.08488059727331,42.32250166566112
2152,5,-71.0838405958987,42.3220576652671
2137,5,-71.07965459524034,42.32415766617247
2141,5,-71.0829035958823,42.324666666058256
215,5,-71.08249459571577,42.32324866582713
2138,5,-71.0800785952188,42.322620665924156
2139,5,-71.07953759569905,42.32149466581503
2151,9,-71.0817035958234,42.32074766555883
2153,9,-71.08280159684323,42.319762664803456
2157,9,-71.0818495951003,42.318257665146774
2156,9,-71.08530459617425,42.319600664869974
2159,9,-71.08603659715139,42.31900466468945
2165,9,-71.08653459650725,42.317056663822676
2164,9,-71.08294759552521,42.31637466438478
217,9,-71.08193759598439,42.31497766415119
2171,9,-71.08372359619418,42.31407966363625
2168,9,-71.08988659861508,42.317207663578706
2179,9,-71.09072159831092,42.315302663409945
2178,9,-71.08836459777366,42.31463166328382
2173,9,-71.08512959601977,42.31229366307319
2172,9,-71.08288959610157,42.311871663218746
2192,9,-71.08697359733988,42.31026966312278
2196,9,-71.08553859548113,42.30724866240586
219,9,-71.0890665977459,42.30757366199556
2191,9,-71.08807159790258,42.309349662791774
2182,9,-71.09218559950293,42.30994466323606
2181,9,-71.09053059877031,42.31188266266947
2187,9,-71.09263859866337,42.31300766350722
1554,4,-71.07982359656646,42.342173669681586
1553,4,-71.07975259701276,42.34407566926721
1552,4,-71.07721659545774,42.34430566917557
221,5,-71.08179359693364,42.34060966895575
2212,5,-71.08333159794469,42.33929966905528
2211,5,-71.08107559723202,42.33889866928475
2213,5,-71.08669959848399,42.33703666839424
2221,5,-71.08772459820834,42.33643066805912
2215,5,-71.08447359800165,42.33677766780685
2214,5,-71.08248159722888,42.33815166875285
2216,5,-71.08359459701194,42.3367776681845
2218,5,-71.08007959649395,42.3359656678966
2217,5,-71.07868859609533,42.33689666848112
2219,5,-71.0814565972776,42.33491566791052
2226,5,-71.08481059744027,42.334731667456126
2233,5,-71.08444459771195,42.33360566781621
2231,5,-71.08400459784218,42.33414666764348
2232,5,-71.08586459791992,42.33320466655945
2224,5,-71.08697759830613,42.334644667734445
2223,5,-71.08874959887099,42.33482866718357
2234,5,-71.08456159706195,42.331418666669755
2235,5,-71.08803159906584,42.330552666739194
2241,5,-71.09408060147177,42.3318516672201
2246,5,-71.09126859965329,42.330022666604435
2245,5,-71.0946076010151,42.33028266636833
2255,5,-71.09227859952348,42.328268665438415
2247,5,-71.09669460124086,42.3286986656787
2248,5,-71.09567660101726,42.327662666568074
2261,9,-71.09293760019987,42.326883665198515
2253,5,-71.09011159920418,42.327283665924575
2249,9,-71.09660860149064,42.326234666429606
2262,9,-71.09466560075867,42.325724666176335
2264,9,-71.09326059985074,42.3241336650705
2263,9,-71.09009659949086,42.32469666642258
2254,5,-71.08773959917787,42.32617966684379
228,9,-71.08959859819701,42.32345166541084
2283,9,-71.09194259941846,42.32158966550773
2266,9,-71.0915375994311,42.323008665583494
2265,9,-71.09557360005884,42.323408665445
2287,9,-71.0932165993302,42.32082166422052
2272,9,-71.09831260201247,42.324891665686685
2271,9,-71.09848860240943,42.322563665352504
2273,9,-71.09924960188589,42.32165466454934
2279,9,-71.09838560128314,42.32052866458979
2275,9,-71.09835660034679,42.31838566440375
229,9,-71.09520760086936,42.318850663932146
2286,9,-71.09347959897254,42.319781663899704
2284,9,-71.09031659886462,42.319208664929384
2285,9,-71.09219059863494,42.31799566414158
2297,9,-71.0949146005114,42.317151663779
2296,9,-71.09481259970083,42.31588466366546
2291,9,-71.09169359902472,42.316967664478625
2293,9,-71.09380159989941,42.3145316643408
2294,9,-71.09509060043356,42.313308662714974
2411,9,-71.10182160234528,42.32287666536195
2415,9,-71.10489660387478,42.322713664592236
2417,9,-71.10643360324188,42.32196666436093
2416,9,-71.10718060400869,42.32057066462534
245,9,-71.1123346059453,42.323926664386
241,9,-71.1099916050892,42.321977664263834
2454,9,-71.11185160640383,42.32058166410651
2453,9,-71.11385660624326,42.32133966453301
2452,9,-71.11562860735613,42.32111166414854
2451,9,-71.1150286071223,42.323547663885016
2456,9,-71.11956760850634,42.32157766361737
2458,9,-71.11640460656764,42.31855766348037
2457,9,-71.11280260585801,42.3179296630465
2428,9,-71.11044560594149,42.318881664069494
2427,9,-71.11035760478892,42.3195746637498
2426,9,-71.10987460522689,42.316521663644025
2429,9,-71.1086736053282,42.31805966381738
2437,9,-71.10488460357904,42.31716266426267
2441,9,-71.10308060284916,42.31667366414496
2412,9,-71.10517460393525,42.319260664187354
2413,9,-71.1025096032763,42.32033266465878
2442,9,-71.10107460232324,42.31651166332483
2445,9,-71.09839560084849,42.315699664371714
2448,9,-71.09794160076763,42.31357766266893
2447,9,-71.09772160045742,42.311704662591424
2432,9,-71.101587602537,42.31247366291773
2443,9,-71.10114760183114,42.31398866329853
2444,9,-71.1026416022549,42.31420566321636
2446,9,-71.10228960310988,42.31527766361179
2435,9,-71.10445660322819,42.31214866277004
2439,9,-71.10785360457562,42.31289566282514
2438,9,-71.1059216037583,42.31508266283699
2421,9,-71.1080886051262,42.314909663406745
2423,9,-71.1102256044429,42.31389166224336
2425,9,-71.11106060456524,42.31615366293921
2459,9,-71.11400360570559,42.315980662727384
246,9,-71.11697560736374,42.31552666361422
